hour_of_day,login_attempts,protocol,is_anomaly,label
18,1,TCP,0,normal
9,1,TCP,0,normal
11,2,TCP,0,normal
13,2,ICMP,0,normal
16,1,TCP,0,normal
10,1,UDP,0,normal
13,1,TCP,0,normal
13,1,TCP,0,normal
15,3,TCP,0,normal
12,2,TCP,0,normal
18,1,TCP,0,normal
14,1,TCP,0,normal
9,1,TCP,0,normal
16,1,TCP,0,normal
14,1,TCP,0,normal
10,1,TCP,0,normal
14,1,TCP,0,normal
2,40,TCP,1,brute_force
14,2,TCP,0,normal
14,1,TCP,0,normal
2,46,TCP,1,brute_force
15,1,TCP,0,normal
15,1,TCP,0,normal
16,1,TCP,0,normal
8,2,TCP,0,normal
2,42,TCP,1,brute_force
14,1,TCP,0,normal
17,1,TCP,0,normal
12,1,TCP,0,normal
13,1,TCP,0,normal
14,1,TCP,0,normal
13,1,TCP,0,normal
16,3,UDP,0,normal
14,1,TCP,0,normal
13,2,TCP,0,normal
12,1,UDP,0,normal
17,1,ICMP,0,normal
15,1,TCP,0,normal
13,1,TCP,0,normal
8,2,TCP,0,normal
14,1,TCP,0,normal
9,1,TCP,0,normal
9,1,ICMP,0,normal
8,2,TCP,0,normal
10,1,TCP,0,normal
13,1,TCP,0,normal
12,1,TCP,0,normal
8,1,UDP,0,normal
17,1,TCP,0,normal
18,1,ICMP,0,normal
8,1,TCP,0,normal
9,3,TCP,0,normal
14,1,TCP,0,normal
10,1,TCP,0,normal
14,1,ICMP,0,normal
17,2,UDP,0,normal
12,1,TCP,0,normal
1,42,TCP,1,brute_force
14,1,TCP,0,normal
12,1,TCP,0,normal
14,2,TCP,0,normal
16,1,TCP,0,normal
10,3,UDP,0,normal
13,1,TCP,0,normal
9,2,UDP,0,normal
14,1,TCP,0,normal
12,1,TCP,0,normal
2,45,TCP,1,brute_force
11,1,UDP,0,normal
10,1,TCP,0,normal
13,2,UDP,0,normal
13,1,ICMP,0,normal
12,1,UDP,0,normal
14,1,TCP,0,normal
13,1,ICMP,0,normal
15,1,TCP,0,normal
10,1,TCP,0,normal
10,2,TCP,0,normal
14,1,TCP,0,normal
13,1,TCP,0,normal
8,1,TCP,0,normal
9,1,UDP,0,normal
12,1,UDP,0,normal
14,1,TCP,0,normal
16,1,TCP,0,normal
14,1,TCP,0,normal
16,1,TCP,0,normal
14,1,TCP,0,normal
16,1,ICMP,0,normal
15,1,TCP,0,normal
8,1,TCP,0,normal
8,1,TCP,0,normal
10,1,TCP,0,normal
12,1,TCP,0,normal
9,3,UDP,0,normal
10,2,TCP,0,normal
17,1,TCP,0,normal
16,1,TCP,0,normal
12,3,UDP,0,normal
18,3,TCP,0,normal
16,1,TCP,0,normal
14,1,TCP,0,normal
11,3,TCP,0,normal
11,2,TCP,0,normal
10,1,TCP,0,normal
9,1,TCP,0,normal
15,2,TCP,0,normal
18,1,ICMP,0,normal
13,1,TCP,0,normal
15,2,TCP,0,normal
13,1,TCP,0,normal
8,2,TCP,0,normal
14,1,UDP,0,normal
9,2,TCP,0,normal
10,1,TCP,0,normal
14,2,TCP,0,normal
8,1,UDP,0,normal
10,1,ICMP,0,normal
8,1,ICMP,0,normal
10,1,TCP,0,normal
11,1,TCP,0,normal
18,1,TCP,0,normal
12,1,TCP,0,normal
15,1,UDP,0,normal
11,1,TCP,0,normal
12,1,TCP,0,normal
11,1,TCP,0,normal
10,2,TCP,0,normal
14,1,TCP,0,normal
12,1,UDP,0,normal
14,1,TCP,0,normal
14,1,TCP,0,normal
13,1,UDP,0,normal
12,2,TCP,0,normal
13,1,TCP,0,normal
14,1,TCP,0,normal
13,2,TCP,0,normal
13,2,ICMP,0,normal
10,1,TCP,0,normal
11,1,UDP,0,normal
15,1,TCP,0,normal
10,1,TCP,0,normal
13,2,TCP,0,normal
9,1,TCP,0,normal
8,1,TCP,0,normal
14,1,TCP,0,normal
9,1,TCP,0,normal
11,1,UDP,0,normal
15,1,TCP,0,normal
9,1,TCP,0,normal
15,1,TCP,0,normal
15,2,TCP,0,normal
12,3,TCP,0,normal
14,1,UDP,0,normal
15,2,TCP,0,normal
9,3,TCP,0,normal
10,1,TCP,0,normal
18,2,TCP,0,normal
9,2,TCP,0,normal
10,3,TCP,0,normal
12,1,TCP,0,normal
10,1,TCP,0,normal
10,1,TCP,0,normal
14,1,TCP,0,normal
12,1,ICMP,0,normal
18,2,TCP,0,normal
3,28,TCP,1,brute_force
9,1,UDP,0,normal
8,1,TCP,0,normal
8,1,TCP,0,normal
10,1,TCP,0,normal
14,3,TCP,0,normal
18,1,TCP,0,normal
15,1,UDP,0,normal
14,1,ICMP,0,normal
12,1,TCP,0,normal
15,1,TCP,0,normal
8,1,UDP,0,normal
10,1,UDP,0,normal
14,2,TCP,0,normal
10,2,TCP,0,normal
10,1,TCP,0,normal
11,1,TCP,0,normal
14,2,TCP,0,normal
11,3,ICMP,0,normal
14,1,TCP,0,normal
14,1,ICMP,0,normal
